項次,名稱,最高補助金額,最低使用年限,評估類別,評估地點,備註,核可ICF
1,推車-一般型,6500,3,甲類,醫院或輔具中心,,"第七類：
【b710a】、【b710b】、【b730a】、【b730b】、【b735】、
【b765】、【s730】、【s750】、【s760】或【05】重度以上。(重度以上肢體障礙者)
(二)12歲以下動作發展障礙兒童(如腦性麻痺患者)。"
2,推車-荷重型,12000,3,甲類,醫院或輔具中心,,"第七類：
【b710a】、【b710b】、【b730a】、【b730b】、【b735】、
【b765】、【s730】、【s750】、【s760】或【05】重度以上。(重度以上肢體障礙者)
(二)12歲以下動作發展障礙兒童(如腦性麻痺患者)。"
3,推車-擺位型,28000,3,甲類,醫院或輔具中心,,"第七類：
【b710a】、【b710b】、【b730a】、【b730b】、【b735】、
【b765】、【s730】、【s750】、【s760】或【05】重度以上。(重度以上肢體障礙者)
(二)12歲以下動作發展障礙兒童(如腦性麻痺患者)。"
4,輪椅-非輕量化量產型,3500,3,不需評估,免評,,
5,輪椅-輕量化量產型,4000,3,不需評估,免評,,
6,輪椅-客製型,9000,3,甲類,僅限輔具中心,,
7,輪椅附加功能-具利於移位功能,5000,3,甲類,醫院或輔具中心,,
8,輪椅附加功能-具仰躺功能,2000,3,甲類,醫院或輔具中心,,
9,輪椅附加功能-具空中傾倒功能,4000,3,甲類,醫院或輔具中心,,
10,高活動型輪椅-基礎型,30000,4,甲類,僅限輔具中心,,"( 一) 第七類：
【b710b】、【b730b】、
【b735】、【b765】、【s750】或【05】下肢重度以上。(下肢重度以上肢體障礙者)
(二)具自力推行能力者。"
11,高活動型輪椅-進階型,60000,5,甲類,僅限輔具中心,,
12,手推圈啟動型動力輔助輪椅,50000,5,甲類,僅限輔具中心,,"( 一) 第七類：
【b710b】、【b730b】、【b735】、【b765】、【s750】或【05】下肢重度以上。(下肢重度以上肢體障礙者)
(二)具自力推行能力者。"
13,輪椅配件-後推式動力套件 (項次 13),8000,5,甲類,僅限輔具中心,,
14,電動輪椅-基礎型,50000,5,甲類,僅限輔具中心,,"(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上(重度以上肢體障礙者)，且具自行駕駛電動輪椅之能力。
"
15,電動輪椅-進階型,60000,5,甲類,僅限輔具中心,,"(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上(重度以上肢體障礙者)，且具自行駕駛電動輪椅之能力。
"
16,電動輪椅配件-沙發型座椅,5000,5,甲類,僅限輔具中心,16.17擇一申請，若申請16則不可配合26-29,(一) 第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上(重度以上肢體障礙者)，且具自行駕駛電動輪椅之能力。
